999991122220001@ims.mnc99.mcc999.3gppnetwork.org,sip:999991122220001@ims.mnc99.mcc999.3gppnetwork.org,GET,http://naf.mnc99.mcc999.3gppnetwork.org/path
999991122220002@ims.mnc99.mcc999.3gppnetwork.org,sip:999991122220002@ims.mnc99.mcc999.3gppnetwork.org,GET,http://naf.mnc99.mcc999.3gppnetwork.org/path
999991122220003@ims.mnc99.mcc999.3gppnetwork.org,sip:999991122220003@ims.mnc99.mcc999.3gppnetwork.org,GET,http://naf.mnc99.mcc999.3gppnetwork.org/path
999991122220004@ims.mnc99.mcc999.3gppnetwork.org,sip:999991122220004@ims.mnc99.mcc999.3gppnetwork.org,GET,http://naf.mnc99.mcc999.3gppnetwork.org/path
999991122220005@ims.mnc99.mcc999.3gppnetwork.org,sip:999991122220005@ims.mnc99.mcc999.3gppnetwork.org,GET,http://naf.mnc99.mcc999.3gppnetwork.org/path
999991122220006@ims.mnc99.mcc999.3gppnetwork.org,sip:999991122220006@ims.mnc99.mcc999.3gppnetwork.org,GET,http://naf.mnc99.mcc999.3gppnetwork.org/path
999991122220007@ims.mnc99.mcc999.3gppnetwork.org,sip:999991122220007@ims.mnc99.mcc999.3gppnetwork.org,GET,http://naf.mnc99.mcc999.3gppnetwork.org/path
999991122220008@ims.mnc99.mcc999.3gppnetwork.org,sip:999991122220008@ims.mnc99.mcc999.3gppnetwork.org,GET,http://naf.mnc99.mcc999.3gppnetwork.org/path
999991122220009@ims.mnc99.mcc999.3gppnetwork.org,sip:999991122220009@ims.mnc99.mcc999.3gppnetwork.org,GET,http://naf.mnc99.mcc999.3gppnetwork.org/path
999991122220010@ims.mnc99.mcc999.3gppnetwork.org,sip:999991122220010@ims.mnc99.mcc999.3gppnetwork.org,GET,http://naf.mnc99.mcc999.3gppnetwork.org/path
999991122220011@ims.mnc99.mcc999.3gppnetwork.org,sip:999991122220011@ims.mnc99.mcc999.3gppnetwork.org,GET,http://naf.mnc99.mcc999.3gppnetwork.org/path
999991122220012@ims.mnc99.mcc999.3gppnetwork.org,sip:999991122220012@ims.mnc99.mcc999.3gppnetwork.org,GET,http://naf.mnc99.mcc999.3gppnetwork.org/path
999991122220013@ims.mnc99.mcc999.3gppnetwork.org,sip:999991122220013@ims.mnc99.mcc999.3gppnetwork.org,GET,http://naf.mnc99.mcc999.3gppnetwork.org/path
